image_index,filename,gt_objects,predictions,TP,FP,FN
1,20220307_191030_jpg.rf.1324fece1d2dc6525ffbddce3a950e0c.jpg,2,3,2,1,0
2,20220307_191240_jpg.rf.75255fd877a20ce84cf2c600f1e78960.jpg,2,3,2,1,0
3,20220307_191316_HDR_jpg.rf.0505fe9a0762f5a5ec2b84cc979f0eae.jpg,2,2,2,0,0
4,20220307_191330_HDR_jpg.rf.612e7710a77621524c22d41ceb20d199.jpg,2,2,2,0,0
5,20220307_191502_HDR_jpg.rf.c06aacd34baa77f405a2dfe022db85f7.jpg,2,2,2,0,0
6,20220307_191510_jpg.rf.910b7ae0ba530cbd51d186fef4018cd2.jpg,3,3,3,0,0
7,20220307_191511_HDR_jpg.rf.e6eb13b4c91a68175ebd592c33b47718.jpg,2,2,2,0,0
8,20220307_191833-1-_jpg.rf.25d65eeffb5b7434318f95db9ecca1b7.jpg,2,2,2,0,0
9,unseen_01_20220307_190919_HDR_jpg.rf.b4d3ee32853f0db2b547be46e69fa576.jpg,2,2,2,0,0
10,unseen_02_20220307_190939-1-_jpg.rf.52d1223093ad9b9d146fda47a05ea519.jpg,2,3,2,1,0
11,unseen_03_20220307_190939_jpg.rf.51567061ac7c6762ab61b38fedad301e.jpg,2,2,2,0,0
12,unseen_04_20220307_190941_jpg.rf.59d3a276870c9dc36542f72077122aaf.jpg,2,2,2,0,0
13,unseen_05_20220307_190942-1-_jpg.rf.6d17f56274c8e57936e0ff0edb7273e3.jpg,3,3,3,0,0
14,unseen_06_20220307_191030_jpg.rf.1324fece1d2dc6525ffbddce3a950e0c.jpg,2,3,2,1,0
15,unseen_07_20220307_191033_jpg.rf.acd4027bf5a5862c64bc9051f5ca0302.jpg,2,2,2,0,0
16,unseen_08_20220307_191038_jpg.rf.61bd07251e5663073068179d8ab7be33.jpg,2,2,2,0,0
17,unseen_09_20220307_191042_jpg.rf.cde105c1e3448b0591d5142f290e8302.jpg,3,3,3,0,0
18,unseen_10_20220307_191121_jpg.rf.1ab158b4fa3a75be3b0a3c5b1111d25b.jpg,2,2,2,0,0
19,unseen_11_20220307_191126_jpg.rf.5ea08ca0b2bc755c61ebb6a70c2288a5.jpg,2,2,2,0,0
20,unseen_12_20220307_191127_jpg.rf.29f7a069599fb98f3487b5abefad36fa.jpg,2,2,2,0,0
